,t0,m0,mw,x,y,z,area,dt
88,2669222474.8091397,1.4684839676391546e+21,8.044579,192217.149509,5008104.808942,-3200.0,8384823773.851744,312.97906398773193
483,8432838138.416318,3.631960335173843e+20,7.640094,650656.866168,5286424.698887,-12000.0,1480927307.966189,50.33244514465332
499,8634518143.348326,3.510508082747481e+20,7.630247,625353.338142,5283191.348918,-3000.0,1945293443.783225,51.27450752258301
528,8895921805.60067,1.763381874945412e+20,7.430898,779797.418886,5381217.21226,-12600.0,1266745483.643579,54.70781898498535
588,9742690916.457932,1.2541493884057553e+23,9.332233,767180.609969,5406099.428688,-19792.207792,122564631643.12271,567.313383102417
600,9924146233.966637,1.6209268480526632e+21,8.073176,198558.210842,5013463.218871,-9000.0,9299071144.044727,323.1240921020508
722,11911449893.517153,4.304729844131544e+20,7.689297,716165.198968,5323784.905875,-12272.727273,1978433499.070667,61.53934097290039
831,13488339798.77708,1.0573830443099775e+20,7.282822,589221.565788,5273704.692365,-12000.0,780339001.847368,34.18023872375488
883,14101109489.889688,8.832921846408822e+21,8.56407,93992.563198,4789729.941065,-18000.0,25457577538.11703,390.6060485839844
946,15187570102.828001,1.4068949712922383e+20,7.365508,1045454.753385,5856224.087039,-11250.0,1126411184.957134,45.34572410583496
976,15503151382.046524,1.7157476121024804e+20,7.422969,1048949.667953,5825449.91148,-9750.0,1285225432.875905,30.162612915039062
1060,16484862275.903404,2.352172348865835e+20,7.514313,198596.693983,5012521.857951,-9900.0,1737958854.375487,70.87723541259766
1063,16498103982.58327,4.2307283466024985e+19,7.01761,1030079.524014,5802804.75942,-3000.0,443164167.306565,17.44342041015625
1079,16769452608.21471,5.970147949983135e+20,7.78399,581681.756117,5281437.473379,-13000.0,3772315216.220387,146.51149559020996
1140,17552589208.54245,1.0855665783283231e+21,7.957104,512201.312683,5241879.479746,-12600.0,6887498269.250575,227.45943450927734
1202,18041585863.11864,2.1005173233363796e+20,7.481551,650777.480926,5286093.312562,-10000.0,1569823366.645938,63.27373504638672
1310,19399081124.20292,6.1262012063795634e+19,7.124794,1035380.583248,5913778.443804,-9000.0,479572646.585355,15.377037048339844
1417,20423950240.00192,4.374862371703831e+20,7.693976,550830.259792,5270284.99873,-10800.0,2463776676.751473,53.48503112792969
1545,21789520768.51816,3.4171755904106496e+20,7.622445,825008.005663,5363217.713647,-8415.584416,2833141341.689573,71.60883331298828
1554,21912913911.965797,3.642193401476291e+20,7.640909,607114.68008,5311101.740794,-13000.0,1703178974.971774,53.54141616821289
1618,22454527584.072224,5.572581141742887e+19,7.097371,1047751.658611,5923456.057006,-4500.0,541441646.96072,23.5477294921875
1639,22625894101.971104,1.1647959947167852e+20,7.310833,509980.878516,5246056.635363,-4500.0,1154982312.90297,61.3399658203125
1752,23802495376.09712,1.4188642294222152e+20,7.367961,921916.784921,5416459.720687,-3802.597403,981462776.486962,48.75710678100586
1803,24236703586.607384,3.306056834189294e+20,7.612874,716771.381816,5326883.480352,-13090.909091,2411243640.657412,86.30759048461914
1807,24236815476.637493,7.397932490495925e+19,7.179407,733969.741965,5318113.769604,-3000.0,485235058.866613,19.43773651123047
1850,24695680441.151558,5.153608681232103e+19,7.074741,1060753.30771,5843209.2099,-7500.0,384230584.986025,18.784324645996094
1874,24923305381.76116,3.2295412363805295e+20,7.606094,1019881.427191,5789825.634565,-5250.0,2439410977.394472,36.360191345214844
1890,25037402055.044018,4.612295826850527e+19,7.042611,1053731.827574,5877433.557673,-10500.0,413797298.693808,20.088932037353516
1916,25258039310.322777,1.4440421456037589e+21,8.03972,195970.303394,5005539.900412,-11700.0,7502347950.514028,252.09270858764648
2023,26518898531.648056,1.1501535846787872e+20,7.307171,1044544.117349,5912111.576679,-9750.0,746396293.839833,25.223739624023438
2090,27118757425.524223,4.738502176036293e+19,7.050427,147355.610834,4978677.565831,-6562.5,431825006.120998,24.279945373535156
2103,27245121182.172497,6.290326933858919e+19,7.132449,940088.108667,5528548.84447,-18857.142857,779744007.407123,37.241329193115234
2238,28506629484.96246,5.7450094595196335e+20,7.77286,758729.759229,5407956.551007,-13000.0,2621016622.621799,70.97152709960938
2250,28523514441.552967,4.419947089250521e+20,7.696945,653950.686373,5364501.745576,-10800.0,1837008603.349601,59.919654846191406
2275,28789638067.589714,2.7507075689464247e+20,7.55963,655672.936125,5287679.116612,-13000.0,1480510402.760904,47.278629302978516
2317,29163221154.08118,9.309542024263978e+19,7.245952,136422.94946,4957549.786053,-12857.142857,661871455.806172,34.4315185546875
2374,29601749643.47179,4.505723940221127e+19,7.035843,1071748.491897,5888525.355835,-3750.0,371906000.047941,16.57183837890625
2430,30120427564.597305,2.330845887824303e+20,7.511676,510516.123399,5241267.910286,-11700.0,1551420824.578932,61.856719970703125
2558,31262919364.28669,7.156346198755659e+19,7.169794,1028499.817117,5881487.728586,-6000.0,492954733.367199,15.874774932861328
2589,31437595826.25174,3.56546254259798e+20,7.634744,201319.178306,4984481.205489,-19428.571429,1635225729.782259,41.123470306396484
2716,32308869541.10284,1.83143749185487e+20,7.441861,803605.705142,5351191.710269,-14000.0,1190612245.734254,52.52391052246094
2752,32558552024.36623,2.7364385011372943e+20,7.558124,1167262.124828,5858400.742908,-19636.363636,2285555876.761321,55.88653564453125
2892,33529692576.704746,7.52546352629562e+19,7.184356,176182.753848,4949216.065678,-19500.0,781291131.653017,38.294368743896484
2913,33691913316.27934,1.735686108428473e+20,7.426314,586242.431949,5276159.728606,-12000.0,1249401433.49338,29.162353515625
2939,33865530344.029278,1.7679439304667995e+20,7.431646,809615.236365,5374122.644103,-11376.623377,2012690955.421755,79.42201232910156
2957,33964952150.224483,1.3710279778581085e+20,7.358031,1053811.373256,5893103.961203,-3000.0,897400530.863491,24.896038055419922
2972,34067081741.390728,1.1112399024684025e+20,7.297205,960019.903338,5746954.999805,-3600.0,738111340.530668,28.80126953125
3015,34389143674.12526,9.734143839092494e+19,7.258865,1009664.516344,5851414.85309,-5250.0,1017273971.413879,34.643157958984375
3215,36014530593.13929,5.964873969346653e+19,7.117068,904741.743421,5659219.877507,-6300.0,510232691.368685,24.8231201171875
3241,36210917740.058914,1.9959225433689298e+21,8.133429,208086.993023,5025493.566852,-9900.0,8468359152.195608,220.63138580322266
3245,36211545364.86623,1.4864586356755592e+20,7.381435,537704.136024,5256551.947207,-14000.0,1182941885.842699,30.996109008789062
3386,37519593068.21822,3.128620827701787e+20,7.596902,716542.02202,5324876.147719,-12272.727273,1987363774.97852,70.44738006591797
3451,38056669010.69988,2.3294862213477902e+20,7.511507,651287.837467,5286346.618645,-11000.0,1469488989.671466,52.248985290527344
3495,38412758830.70151,5.201424897960309e+19,7.077415,1058618.892799,5924322.368279,-3750.0,412236383.313586,18.303565979003906
3573,38960024309.83164,1.0563865107157351e+21,7.949215,138271.168145,4919473.111041,-17500.0,5870505018.55064,142.81310272216797
3738,40092325096.39108,6.223117371061651e+19,7.129339,594155.017615,5283834.49657,-13000.0,620074189.092929,26.445533752441406
3757,40215292507.171715,4.0566632155512764e+21,8.338779,30504.048117,4459764.475519,-18000.0,16035107989.929468,234.7509994506836
3778,40329923087.25912,5.393935138499644e+19,7.087937,620636.579849,5280626.532589,-11000.0,570735097.93811,35.47093963623047
3786,40355399259.52701,1.8700132969891408e+22,8.78123,838781.979978,5357004.398665,-6233.766234,43423182593.784454,255.36631774902344
3794,40360006700.94354,4.84403881160504e+19,7.056805,851301.689445,5484043.547125,-3600.0,403712599.533811,21.05510711669922
3941,41993839093.19482,5.033818014945488e+19,7.067932,1057241.717695,5874197.047629,-12000.0,427564736.6786,19.88098907470703
4038,42918219670.64986,8.720952302548135e+19,7.227043,1031046.623341,5875288.166807,-3750.0,710008303.11374,25.956382751464844
4186,44078820050.27765,1.5632146971494348e+20,7.396012,583381.1717,5263814.746927,-3000.0,847363108.578193,29.774642944335938
4212,44293070609.68789,1.5279700970598362e+21,8.056077,513100.379773,5248409.238827,-4500.0,8456102759.342026,267.0350799560547
4248,44619271506.94713,2.898625420352598e+20,7.574795,96962.07477,4788777.852289,-12600.0,1301261608.796761,36.52289581298828
4278,44889944374.07096,9.247706580844631e+19,7.244023,992097.656741,5764107.891814,-5250.0,761445748.162214,35.96196746826172
4329,45367876539.26138,4.061857095759966e+19,7.005816,879612.572823,5508055.960669,-3600.0,358989695.043032,16.44615936279297
4390,45944497195.16715,2.3451535601099132e+20,7.513448,620280.131484,5218695.149274,-13000.0,1532330366.726708,56.125648498535156
4523,47013478105.05171,9.09591995350052e+19,7.239231,547187.12988,5269488.421942,-9000.0,810677095.958278,38.446319580078125
4556,47153392945.106,1.3802974754277009e+20,7.359982,591085.801235,5278044.129179,-13000.0,1158769321.006476,37.29808044433594
4654,47899570877.45557,2.7102746135892378e+20,7.555342,652303.996199,5286878.99023,-13000.0,1561333925.081606,44.807472229003906
4985,50457319564.2528,5.0006712442085106e+19,7.066019,1074693.170888,5876885.333092,-11250.0,487408527.657303,24.03313446044922
5035,50745213046.46437,5.329012208513537e+19,7.084431,196533.01705,5007468.222903,-10800.0,634386171.159765,34.671356201171875
5101,51192530319.31817,2.791830620589342e+20,7.563926,788212.472592,5392333.843002,-15896.103896,2411516616.993104,55.75657653808594
5105,51192531757.377045,6.088095010852265e+19,7.122988,794354.223592,5410789.285398,-8100.0,575415960.918073,25.39716339111328
5161,51623939568.84189,8.188577323279891e+19,7.208806,540479.822199,5257343.80969,-13000.0,850910472.623665,32.91107177734375
5173,51673768369.94602,1.8687580350246597e+20,7.447702,173529.098055,4951442.747275,-17500.0,1551020259.372842,55.2158203125
5232,52255340934.25317,1.442459087695104e+21,8.039402,511605.234565,5242730.767522,-10800.0,8063192384.485719,255.04000854492188
5331,52963357989.73453,5.411013537981651e+20,7.755519,749682.898967,5387512.238775,-13000.0,3197672775.119672,128.4720687866211
5338,52966111625.278656,3.1816641714328456e+20,7.60177,726238.617591,5339631.911394,-11454.545455,2167971826.154616,57.578468322753906
5437,53654739677.50172,9.796609766671838e+19,7.260717,1028207.854563,5882438.918224,-12750.0,640573903.654992,19.955886840820312
5491,54089921165.05364,3.876957314095475e+21,8.325661,1171076.177978,5856972.002373,-19012.987013,15436585436.509209,153.51917266845703
5499,54091104790.970085,9.625961581694617e+19,7.255629,1076404.926128,5902634.708035,-12000.0,672103398.64292,23.64130401611328
5501,54091443028.5957,4.366831110706013e+19,7.026778,1051005.633329,5864834.860512,-14250.0,491921348.969368,28.336700439453125
5546,54340080515.00674,1.634028020985856e+20,7.40884,582885.268422,5289722.00851,-11700.0,1076230611.574358,30.92474365234375
5551,54378782618.183495,1.0402078717323464e+20,7.27808,1002775.837218,5809039.835686,-11250.0,990586089.928145,51.49720001220703
5572,54476269945.12759,4.604752035427361e+19,7.042137,1027112.34501,5808871.501939,-3000.0,402145538.333739,17.887306213378906
5597,54698667156.250305,4.355086916515342e+19,7.025998,194778.147159,5007242.475963,-8100.0,465905021.103892,22.398033142089844
5702,55495191792.31866,7.078878242835866e+19,7.166643,929329.688808,5417842.161941,-3603.896104,735610090.464628,46.87060546875
5733,55741392500.11844,8.791977543624822e+19,7.229391,758729.759229,5407956.551007,-13000.0,891562064.194104,36.05207824707031
5890,57001702366.03809,2.5129716042275275e+20,7.533458,775328.289446,5353716.707407,-12600.0,1833144459.643466,50.72184753417969
5915,57184560641.82261,1.2336489424654367e+20,7.327461,669271.80767,5325783.737766,-9000.0,827920285.983222,34.903106689453125
5935,57375534863.496925,1.7872238785654817e+20,7.434786,689860.30648,5326220.72747,-13000.0,985643261.660439,30.850982666015625
5997,57757508248.08408,8.843617346842036e+19,7.231087,589798.753225,5273718.403525,-13000.0,719233574.642218,33.92974090576172
6008,57829106480.60369,1.0592183846019582e+20,7.283324,205037.464762,5034360.402142,-13000.0,683884873.556735,24.6773681640625
6085,58360917932.52634,2.469676135713177e+20,7.528427,650656.866168,5286424.698887,-12000.0,1477883646.745409,53.778076171875
6176,58944482242.232216,8.37800066083459e+19,7.215427,779240.296397,5362562.561493,-13090.909091,535110232.754156,24.63507843017578
6223,59212446441.80561,1.0432878372445805e+20,7.278936,595285.128033,5284071.488796,-13000.0,824468670.060539,31.82646942138672
6255,59377771127.26983,6.654291702402407e+20,7.815401,937268.562004,5529979.172086,-19324.675325,4681193926.896272,68.4627456665039
6275,59489151070.60025,1.332417441946801e+21,8.016427,515484.692245,5245004.087724,-11700.0,8472146640.054358,289.00785064697266
6286,59617543566.780266,6.543088262953573e+19,7.143855,911320.185535,5666281.295813,-9900.0,493779050.987453,20.305763244628906
6357,60231332309.24908,2.7761569967473784e+20,7.562296,24294.993938,4423489.893901,-18500.0,2452862571.147615,74.6313247680664
6516,61167631519.37109,6.9044419363991265e+19,7.159419,586242.431949,5276159.728606,-12000.0,692330098.151465,34.479461669921875
6518,61167634759.903534,4.4257841485336355e+19,7.03066,559836.074546,5267985.094116,-12000.0,568233621.043639,28.330223083496094
6559,61368612214.1328,4.009251628388297e+19,7.002042,858755.858863,5502831.037273,-12600.0,293357019.327906,15.520378112792969
6615,61745263811.68968,5.3645760649976504e+19,7.086357,1016846.315297,5819482.152586,-3000.0,462456514.35678,20.93408203125
6619,61750328760.285286,7.142507685221753e+19,7.169234,1033420.060689,5861974.073055,-10500.0,647293844.09817,32.978271484375
6739,62520252360.53369,6.787635095721375e+20,7.821146,229371.013272,5049767.689079,-12857.142857,2591485823.951618,65.53775787353516
6743,62578803064.14406,1.975331158896998e+20,7.46376,179941.194096,4963665.378172,-16000.0,1446163318.74426,46.506065368652344
6821,63062536481.944405,4.966695357415371e+19,7.064045,1031303.382738,5903557.926434,-9750.0,514615005.902997,24.41937255859375
6909,63566825447.57778,2.0778438155892705e+21,8.145075,828475.070319,5359910.739842,-7636.363636,11102460532.19852,156.42267608642578
7195,65646742649.306465,1.1618641095259318e+20,7.310104,528681.764012,5254580.0459,-8000.0,962987037.286401,30.05377197265625
7242,65974396613.95102,1.343945164964636e+21,8.018921,104578.946058,4830486.27384,-19500.0,7209887625.296422,112.23995208740234
7324,66468757875.82251,5.891005564583964e+19,7.11346,955421.510488,5744714.79433,-2700.0,770479553.303865,47.403602600097656
7415,67069603794.79827,4.607926956313794e+19,7.042337,1055454.465157,5906227.502883,-11250.0,381413891.486136,17.3792724609375
7447,67288589232.461876,3.51853652465256e+21,8.297575,45475.618647,4525561.629957,-19500.0,14329178593.665413,185.31905364990234
7484,67511655273.87219,1.7992304735738709e+21,8.103391,259169.948656,5063999.818714,-12600.0,9055080985.655336,226.6918182373047
7485,67511655507.20642,4.8801295676955845e+19,7.058954,545994.973644,5271190.997494,-5400.0,603112006.736881,27.195045471191406
7576,68190007100.38757,2.6274435247394747e+20,7.546356,760403.175868,5365122.347035,-11454.545455,1824425954.081603,65.24287414550781
7584,68190975112.10603,1.6346217936961182e+20,7.408945,779460.263236,5344259.877307,-11250.0,985044712.033466,37.471778869628906
7601,68337923956.99843,2.5150199154852427e+20,7.533694,651167.222709,5286678.00497,-13000.0,1499770653.535621,51.594749450683594
7723,69163314635.28604,3.39364624310479e+20,7.620444,655041.838787,5364879.137423,-10800.0,1639099332.632449,47.65283203125
7896,70466529488.14139,2.0008664783845976e+20,7.467479,585637.271607,5276134.454279,-13000.0,1473500621.852921,42.18754577636719
8086,71767720750.56506,1.5833545124253535e+20,7.399719,678628.893375,5313079.584132,-12600.0,1288419257.551656,43.936920166015625
8202,72477945734.30045,9.105956940538672e+19,7.23955,805840.511145,5350570.217674,-9000.0,810731866.416388,37.07391357421875
8209,72520689102.03603,6.5318646134247825e+19,7.143358,1088992.416935,5877027.37373,-12750.0,589891076.67681,21.930419921875
