,t0,m0,mw,x,y,z,area,dt
219052,1000200246389.8894,1.7277811220972408e+20,7.424992,681334.239281,5341679.591337,-8000.0,1597936496.505901,42.8446044921875
219101,1000488751535.579,8.30834777520568e+19,7.21301,106496.076659,4840512.586427,-19000.0,1325729039.764035,29.425048828125
219185,1000784322746.4843,1.588288498794629e+20,7.40062,585227.539632,5290381.866786,-13500.0,1515572255.975951,28.825927734375
219305,1001338438652.4178,4.173355316874429e+19,7.013657,790431.643415,5389272.871457,-15272.727273,722818324.868041,18.224365234375
219342,1001483587869.8608,1.3360591500646772e+20,7.35055,433097.936767,4963877.08855,-10384.615385,891257729.353865,25.741455078125
219378,1001672557045.7644,5.716345201924422e+19,7.104746,195369.793475,5007313.951892,-9000.0,744556147.962559,23.7696533203125
219494,1002129195403.6244,7.933720491663709e+19,7.199651,600913.189071,5285357.849828,-13000.0,816674441.433268,17.573974609375
219698,1002877004292.2827,6.149470846835262e+19,7.125892,621321.488525,5219193.65423,-13000.0,841749651.940209,23.804931640625
219740,1003108606070.4558,2.418436326399792e+20,7.522356,670936.144459,5305686.803417,-5400.0,1882644096.463725,38.194580078125
219773,1003304051287.4507,2.9163063632774123e+20,7.576555,293512.069338,4981670.834429,-9900.0,2115557426.154485,66.3499755859375
219904,1003893894701.3191,9.913769506285294e+19,7.264159,23522.493194,4423479.613328,-18000.0,1172630105.258857,28.4766845703125
220045,1004388674940.6753,1.1137914386756366e+21,7.964536,511605.234565,5242730.767522,-10800.0,8395540883.004508,178.604248046875
220109,1004560926370.7985,9.38545688056748e+19,7.248304,581236.418519,5262958.427221,-13000.0,822248371.863542,21.8194580078125
220140,1004673199140.4453,4.7159878708857864e+19,7.049048,622444.223527,5284724.922834,-13000.0,599291175.388428,19.41650390625
220159,1004717355362.9407,1.941319148813105e+20,7.458731,943231.414326,5526180.19376,-18233.766234,2457458067.527532,48.096923828125
220445,1005818615514.4271,8.543683831919056e+20,7.887763,838781.979978,5357004.398665,-6233.766234,7107780377.837339,60.827880859375
220465,1005869800002.1039,1.852694796457559e+20,7.445203,175989.094526,4950108.390548,-19000.0,1902062326.118224,29.3182373046875
220467,1005869800874.4792,1.426846475808318e+20,7.369585,181374.123019,4960222.257098,-18285.714286,1483051885.949355,33.3961181640625
220707,1007005627203.3585,1.7483183549465572e+20,7.428414,650777.480926,5286093.312562,-10000.0,1472222712.910225,32.9005126953125
220769,1007249827787.8156,2.230448399800245e+20,7.498928,1213510.804374,5824995.217788,-10597.402597,2597771434.266074,40.481201171875
221046,1008387335822.0867,2.8866387526646904e+20,7.573595,663582.579372,5374623.033496,-8000.0,2617763416.84446,71.3516845703125
221116,1008724217039.4708,4.981933187599687e+19,7.064932,779240.296397,5362562.561493,-13090.909091,536732594.978476,14.239501953125
221143,1008816029799.0813,1.1247508467672402e+20,7.300704,808683.450836,5259159.753863,-3272.727273,849244816.268802,20.8626708984375
221150,1008852592460.1814,9.395894744410223e+20,7.915292,111241.11829,4863907.438256,-18000.0,6534407729.183149,70.0284423828125
221173,1008972779729.752,1.5270850592219107e+20,7.389242,590114.623518,5275648.60192,-2000.0,1938794476.388499,49.4249267578125
