#long lat depth rake slip_deficit_mm/yr uncertainty_mm/yr
180.127 -37.248 -3.21 297.916 0.204 48.9643
180.098 -37.232 -3.64 298.140 0.204 48.9104
180.070 -37.216 -4.07 298.364 0.204 48.8596
180.042 -37.199 -4.50 298.590 0.203 48.8128
180.013 -37.183 -4.93 298.817 0.203 48.7682
179.985 -37.166 -5.36 299.044 0.203 48.7266
179.956 -37.150 -5.79 299.272 0.203 48.689
180.093 -37.302 -3.21 292.639 0.628 50.2243
180.065 -37.286 -3.64 293.646 0.624 49.9037
180.037 -37.270 -4.07 294.669 0.620 49.6065
180.009 -37.254 -4.50 295.706 0.617 49.3333
179.981 -37.237 -4.93 296.756 0.614 49.0844
179.953 -37.221 -5.36 297.819 0.611 48.8592
179.924 -37.205 -5.79 298.893 0.608 48.66
180.060 -37.357 -3.21 287.661 1.081 51.8885
180.032 -37.340 -3.64 289.354 1.066 51.1907
180.004 -37.324 -4.07 291.097 1.053 50.5522
179.976 -37.308 -4.50 292.889 1.041 49.976
179.948 -37.292 -4.93 294.725 1.030 49.4623
179.920 -37.276 -5.36 296.602 1.021 49.014
179.892 -37.260 -5.79 298.514 1.013 48.6341
180.027 -37.411 -3.21 283.025 1.573 53.9176
179.999 -37.395 -3.64 285.293 1.539 52.7503
179.971 -37.379 -4.07 287.670 1.508 51.6877
179.944 -37.363 -4.50 290.150 1.480 50.7362
179.916 -37.347 -4.93 292.727 1.455 49.9023
179.888 -37.331 -5.36 295.392 1.435 49.1919
179.861 -37.315 -5.79 298.134 1.418 48.6093
179.993 -37.465 -3.21 278.750 2.110 56.274
179.966 -37.449 -3.64 281.484 2.046 54.559
179.938 -37.433 -4.07 284.401 1.987 52.9988
179.911 -37.417 -4.50 287.498 1.935 51.6089
179.883 -37.401 -4.93 290.766 1.890 50.401
179.856 -37.386 -5.36 294.192 1.852 49.3905
179.829 -37.370 -5.79 297.754 1.822 48.5877
179.960 -37.519 -3.21 274.839 2.700 58.9167
179.933 -37.503 -3.64 277.934 2.594 56.5926
179.905 -37.487 -4.07 281.299 2.497 54.475
179.878 -37.472 -4.50 284.939 2.410 52.5883
179.851 -37.456 -4.93 288.846 2.336 50.9585
179.824 -37.440 -5.36 293.002 2.274 49.6106
179.797 -37.425 -5.79 297.374 2.226 48.5683
179.918 -37.568 -3.21 288.478 3.008 60.161
179.891 -37.552 -3.64 292.296 2.877 57.5352
179.864 -37.537 -4.07 296.431 2.757 55.1404
179.836 -37.521 -4.50 300.890 2.650 53.0092
179.809 -37.505 -4.93 305.669 2.559 51.1719
179.782 -37.490 -5.36 310.747 2.483 49.6626
179.755 -37.474 -5.79 316.085 2.426 48.5117
179.868 -37.613 -3.21 288.566 2.991 59.8131
179.840 -37.597 -3.64 292.395 2.862 57.2324
179.813 -37.581 -4.07 296.538 2.744 54.8817
179.785 -37.565 -4.50 301.001 2.640 52.7942
179.758 -37.549 -4.93 305.777 2.550 51.0004
179.730 -37.533 -5.36 310.846 2.477 49.5317
179.702 -37.517 -5.79 316.168 2.421 48.4196
179.818 -37.657 -3.21 288.654 2.973 59.4662
179.790 -37.641 -3.64 292.495 2.846 56.9297
179.762 -37.625 -4.07 296.646 2.731 54.6242
179.734 -37.609 -4.50 301.112 2.629 52.5791
179.706 -37.593 -4.93 305.886 2.541 50.8279
179.678 -37.577 -5.36 310.946 2.470 49.4009
179.650 -37.561 -5.79 316.251 2.416 48.3267
179.768 -37.702 -3.21 288.744 2.956 59.1199
179.739 -37.686 -3.64 292.596 2.831 56.6276
179.711 -37.669 -4.07 296.754 2.718 54.3659
179.683 -37.653 -4.50 301.224 2.618 52.3655
179.655 -37.637 -4.93 305.996 2.533 50.6568
179.626 -37.620 -5.36 311.046 2.464 49.2703
179.598 -37.604 -5.79 316.334 2.412 48.2338
179.718 -37.747 -3.21 288.835 2.939 58.7724
179.689 -37.730 -3.64 292.698 2.816 56.3253
179.660 -37.713 -4.07 296.864 2.705 54.1078
179.632 -37.697 -4.50 301.337 2.608 52.151
179.603 -37.680 -4.93 306.106 2.524 50.4847
179.574 -37.664 -5.36 311.147 2.457 49.1398
179.546 -37.647 -5.79 316.417 2.407 48.1409
179.668 -37.791 -3.21 288.927 2.921 58.426
179.639 -37.774 -3.64 292.801 2.801 56.0222
179.610 -37.758 -4.07 296.975 2.692 53.8499
179.581 -37.741 -4.50 301.451 2.597 51.9377
179.551 -37.724 -4.93 306.217 2.516 50.3139
179.522 -37.707 -5.36 311.248 2.450 49.0095
179.493 -37.691 -5.79 316.501 2.402 48.0482
179.618 -37.836 -3.21 289.020 2.904 58.0802
179.588 -37.819 -3.64 292.905 2.786 55.7203
179.559 -37.802 -4.07 297.087 2.680 53.5922
179.529 -37.785 -4.50 301.566 2.586 51.7235
179.500 -37.768 -4.93 306.329 2.507 50.1433
179.471 -37.751 -5.36 311.350 2.444 48.8793
179.441 -37.734 -5.79 316.585 2.398 47.9557
179.567 -37.880 -3.21 289.114 2.887 57.7331
179.538 -37.863 -3.64 293.011 2.771 55.4185
179.508 -37.846 -4.07 297.200 2.667 53.3347
179.478 -37.829 -4.50 301.681 2.576 51.5097
179.448 -37.812 -4.93 306.442 2.499 49.9718
179.419 -37.794 -5.36 311.453 2.437 48.7483
179.389 -37.777 -5.79 316.670 2.393 47.8632
179.521 -37.923 -3.21 287.760 2.876 57.5126
179.491 -37.906 -3.64 289.683 2.771 55.426
179.462 -37.889 -4.07 291.845 2.676 53.5254
179.433 -37.872 -4.50 294.247 2.592 51.8335
179.403 -37.855 -4.93 296.881 2.518 50.3701
179.374 -37.838 -5.36 299.728 2.458 49.1547
179.345 -37.821 -5.79 302.761 2.410 48.2082
179.477 -37.964 -3.21 287.527 2.871 57.4196
179.449 -37.947 -3.64 288.764 2.788 55.7523
179.421 -37.931 -4.07 290.152 2.710 54.2009
179.393 -37.915 -4.50 291.691 2.639 52.7731
179.365 -37.899 -4.93 293.379 2.574 51.4806
179.336 -37.882 -5.36 295.211 2.517 50.3345
179.308 -37.866 -5.79 297.178 2.467 49.3432
179.433 -38.004 -3.21 287.293 2.866 57.3263
179.406 -37.989 -3.64 287.857 2.805 56.0937
179.380 -37.973 -4.07 288.502 2.746 54.9216
179.353 -37.958 -4.50 289.228 2.691 53.8142
179.326 -37.942 -4.93 290.036 2.639 52.7758
179.299 -37.927 -5.36 290.926 2.591 51.8108
179.272 -37.911 -5.79 291.894 2.546 50.9232
179.390 -38.045 -3.21 287.059 2.862 57.2352
179.364 -38.030 -3.64 286.960 2.822 56.4485
179.338 -38.015 -4.07 286.895 2.784 55.6863
179.313 -38.000 -4.50 286.863 2.748 54.9505
179.287 -37.986 -4.93 286.865 2.712 54.2417
179.261 -37.971 -5.36 286.899 2.678 53.561
179.236 -37.956 -5.79 286.968 2.645 52.9094
179.346 -38.085 -3.21 286.824 2.857 57.1447
179.321 -38.071 -3.64 286.075 2.841 56.8165
179.297 -38.057 -4.07 285.334 2.825 56.494
179.273 -38.043 -4.50 284.598 2.809 56.177
179.248 -38.029 -4.93 283.868 2.793 55.8639
179.224 -38.015 -5.36 283.145 2.778 55.5574
179.199 -38.001 -5.79 282.428 2.763 55.256
179.309 -38.131 -3.21 271.441 2.848 56.9619
179.285 -38.117 -3.64 272.301 2.843 56.8665
179.261 -38.103 -4.07 273.161 2.839 56.7732
179.237 -38.089 -4.50 274.022 2.834 56.6804
179.213 -38.075 -4.93 274.884 2.829 56.5875
179.188 -38.061 -5.36 275.746 2.825 56.4965
179.164 -38.047 -5.79 276.610 2.820 56.4066
179.279 -38.181 -3.21 271.383 2.834 56.6862
179.254 -38.167 -3.64 272.249 2.829 56.5891
179.230 -38.153 -4.07 273.117 2.825 56.4929
179.205 -38.139 -4.50 273.985 2.820 56.3967
179.180 -38.124 -4.93 274.853 2.815 56.3022
179.155 -38.110 -5.36 275.723 2.810 56.2083
179.130 -38.096 -5.79 276.593 2.806 56.1157
179.249 -38.232 -3.21 271.324 2.821 56.4112
179.224 -38.217 -3.64 272.197 2.816 56.3114
179.198 -38.203 -4.07 273.071 2.811 56.2126
179.173 -38.188 -4.50 273.946 2.806 56.1135
179.147 -38.173 -4.93 274.822 2.801 56.0166
179.122 -38.159 -5.36 275.699 2.796 55.9206
179.097 -38.144 -5.79 276.576 2.791 55.8253
179.219 -38.282 -3.21 271.264 2.807 56.1365
179.193 -38.267 -3.64 272.145 2.802 56.0328
179.167 -38.252 -4.07 273.026 2.797 55.9314
179.141 -38.237 -4.50 273.908 2.792 55.8307
179.115 -38.222 -4.93 274.791 2.787 55.7309
179.089 -38.207 -5.36 275.675 2.782 55.6325
179.063 -38.192 -5.79 276.559 2.777 55.5348
179.189 -38.333 -3.21 271.204 2.793 55.8611
179.162 -38.317 -3.64 272.091 2.788 55.7556
179.136 -38.302 -4.07 272.980 2.783 55.6512
179.109 -38.287 -4.50 273.869 2.777 55.5479
179.082 -38.271 -4.93 274.759 2.772 55.4457
179.056 -38.256 -5.36 275.650 2.767 55.3445
179.029 -38.240 -5.79 276.542 2.762 55.2443
179.159 -38.383 -3.21 271.143 2.779 55.5861
179.132 -38.367 -3.64 272.038 2.774 55.478
179.104 -38.352 -4.07 272.933 2.769 55.3711
179.077 -38.336 -4.50 273.830 2.763 55.2648
179.050 -38.320 -4.93 274.727 2.758 55.16
179.022 -38.304 -5.36 275.625 2.753 55.0564
178.995 -38.289 -5.79 276.525 2.748 54.9535
179.134 -38.438 -3.19 263.038 2.766 55.3293
179.110 -38.424 -3.56 264.341 2.762 55.2308
179.085 -38.410 -3.94 265.645 2.757 55.1332
179.060 -38.395 -4.31 266.950 2.752 55.0365
179.035 -38.381 -4.69 268.256 2.747 54.9404
179.011 -38.367 -5.06 269.563 2.742 54.8455
178.986 -38.352 -5.44 270.870 2.738 54.7516
178.961 -38.338 -5.81 272.178 2.733 54.6587
179.112 -38.496 -3.19 262.891 2.754 55.0771
179.086 -38.481 -3.56 264.206 2.749 54.9732
179.060 -38.466 -3.94 265.522 2.744 54.8706
179.034 -38.451 -4.31 266.839 2.738 54.7687
179.008 -38.436 -4.69 268.157 2.733 54.6677
178.982 -38.421 -5.06 269.476 2.728 54.5678
178.956 -38.406 -5.44 270.796 2.723 54.4693
178.930 -38.391 -5.81 272.117 2.719 54.3724
179.089 -38.554 -3.19 262.742 2.741 54.8253
179.062 -38.538 -3.56 264.069 2.736 54.7162
179.035 -38.522 -3.94 265.398 2.730 54.6083
179.008 -38.507 -4.31 266.727 2.725 54.501
178.981 -38.491 -4.69 268.057 2.720 54.3962
178.954 -38.475 -5.06 269.389 2.715 54.2912
178.926 -38.460 -5.44 270.721 2.709 54.1877
178.899 -38.444 -5.81 272.054 2.704 54.0853
179.067 -38.611 -3.19 262.592 2.729 54.5743
179.038 -38.595 -3.56 263.932 2.723 54.4596
179.010 -38.579 -3.94 265.272 2.717 54.3462
178.982 -38.562 -4.31 266.614 2.712 54.2349
178.953 -38.546 -4.69 267.956 2.706 54.1239
178.925 -38.530 -5.06 269.300 2.701 54.0141
178.897 -38.513 -5.44 270.645 2.695 53.9052
178.868 -38.497 -5.81 271.991 2.690 53.7988
179.044 -38.669 -3.19 262.441 2.716 54.3232
179.014 -38.652 -3.56 263.793 2.710 54.2029
178.985 -38.635 -3.94 265.145 2.704 54.0853
178.955 -38.618 -4.31 266.499 2.698 53.9677
178.926 -38.601 -4.69 267.855 2.693 53.8514
178.897 -38.584 -5.06 269.211 2.687 53.7377
178.867 -38.567 -5.44 270.569 2.681 53.6241
178.838 -38.550 -5.81 271.928 2.676 53.5118
179.026 -38.730 -3.14 261.257 2.704 54.0891
179.003 -38.717 -3.41 262.395 2.700 53.9975
178.981 -38.704 -3.68 263.534 2.695 53.9062
178.959 -38.691 -3.95 264.674 2.691 53.8161
178.936 -38.678 -4.23 265.814 2.686 53.7263
178.914 -38.665 -4.50 266.955 2.682 53.6378
178.891 -38.653 -4.77 268.097 2.678 53.5495
178.869 -38.640 -5.05 269.240 2.673 53.4625
178.847 -38.627 -5.32 270.383 2.669 53.3768
178.824 -38.614 -5.59 271.527 2.665 53.2913
178.802 -38.601 -5.86 272.672 2.660 53.2062
179.004 -38.789 -3.14 261.089 2.692 53.8385
178.980 -38.776 -3.41 262.238 2.687 53.7426
178.957 -38.762 -3.68 263.388 2.682 53.6466
178.933 -38.749 -3.95 264.539 2.678 53.5515
178.910 -38.735 -4.23 265.690 2.673 53.4576
178.887 -38.722 -4.50 266.842 2.668 53.3641
178.863 -38.708 -4.77 267.995 2.664 53.2724
178.840 -38.695 -5.05 269.149 2.659 53.1806
178.816 -38.681 -5.32 270.304 2.654 53.0897
178.793 -38.668 -5.59 271.459 2.650 53
178.770 -38.654 -5.86 272.615 2.646 52.9108
178.982 -38.849 -3.14 260.920 2.679 53.5889
178.957 -38.835 -3.41 262.080 2.674 53.4872
178.933 -38.821 -3.68 263.241 2.669 53.3865
178.908 -38.806 -3.95 264.402 2.664 53.2876
178.884 -38.792 -4.23 265.565 2.659 53.1886
178.859 -38.778 -4.50 266.728 2.655 53.0906
178.835 -38.764 -4.77 267.892 2.650 52.9945
178.811 -38.750 -5.05 269.057 2.645 52.8983
178.786 -38.736 -5.32 270.223 2.640 52.8027
178.762 -38.722 -5.59 271.390 2.635 52.7094
178.737 -38.708 -5.86 272.558 2.631 52.616
178.960 -38.908 -3.14 260.750 2.667 53.3393
178.934 -38.894 -3.41 261.920 2.662 53.2332
178.909 -38.879 -3.68 263.092 2.656 53.1276
178.883 -38.864 -3.95 264.265 2.651 53.0236
178.858 -38.849 -4.23 265.438 2.646 52.92
178.832 -38.835 -4.50 266.613 2.641 52.8174
178.807 -38.820 -4.77 267.788 2.636 52.7163
178.781 -38.805 -5.05 268.965 2.631 52.6158
178.756 -38.790 -5.32 270.142 2.626 52.5172
